our, 4188
do, 6634
like, 4474
was, 51387
when, 8833
who, 4733
been, 6193
down, 4957
me, 18040
this, 20408
but, 33428
on, 14347
then, 8208
thy, 4032
time, 6162
from, 9672
has, 5189
its, 4567
man, 4711
only, 4014
upon, 4268
we, 14241
little, 4023
other, 4644
of, 120863
have, 24589
my, 27222
now, 6604
them, 8409
will, 11873
him, 17992
good, 4340
two, 4239
well, 4515
what, 11290
there, 11258
that, 59969
your, 11293
see, 4952
so, 20808
some, 4606
it, 68297
no, 10027
are, 7993
into, 4294
never, 4012
got, 4175
is, 39864
she, 20973
their, 6453
his, 34954
out, 9425
with, 35566
a, 101959
an, 8592
know, 4465
these, 4040
about, 6597
by, 16487
made, 4022
not, 35107
said, 8432
in, 71255
he, 46909
i, 80034
would, 9829
and, 173313
for, 38021
if, 8117
to, 116376
one, 11581
they, 14652
all, 17776
as, 30129
did, 4554
more, 4779
were, 9938
had, 24619
the, 211751
which, 7987
could, 6927
or, 8938
at, 19240
her, 24754
you, 43495
any, 5263
thou, 5486
be, 28565
up, 8608
